IMDbPro_ID,MPAA,genres,in_release_period,movie_name,opening_money,release_date,running_time,widest_release
tt0822832,PG,"Comedy, Drama, Family",372.0,Marley & Me,36357586,"Dec 25, 2008 - Apr 30, 2009",1.85,3505
tt1320103,R,Drama,96.0,Morning,2876,"Sep 27, 2013 - Oct 3, 2013",1.5833333333333335,4
tt1371150,R,"Comedy, Drama",105.0,This Is Where I Leave You,11558149,"Sep 19, 2014 - Dec 4, 2014",1.7166666666666668,2868
tt0371746,PG-13,"Action, Adventure, Sci, Fi",974.0,Iron Man,98618668,"May 2, 2008 - Oct 2, 2008",2.1,4154
tt2911666,R,"Action, Crime, Thriller",434.0,John Wick,14415922,"Oct 24, 2014 - Jan 22, 2015",1.6833333333333333,2589
tt2140619,R,"Comedy, Romance",97.0,Two Night Stand,15600,"Sep 26, 2014 - Oct 2, 2014",1.4333333333333333,5
tt1726592,R,"Drama, Horror, Mystery, Thriller",63.0,Before I Go to Sleep,1843347,"Oct 31, 2014 - Nov 20, 2014",1.5333333333333332,1902
tt1528100,PG-13,"Action, Drama, Fantasy",385.0,Exodus: Gods and Kings,24115934,"Dec 12, 2014 - Feb 26, 2015",2.5,3503
tt3106846,R,"Drama, Music, Romance",258.0,Gabrielle,3024,"Apr 18, 2014",1.7333333333333334,1
tt1966566,R,"Action, Drama, War",307.0,Stalingrad,510846,"Feb 28, 2014 - Apr 6, 2014",2.183333333333333,308
tt0478087,PG-13,"Crime, Drama, History, Thriller",279.0,21,24105943,"Mar 28, 2008 - May 18, 2008",2.05,2952
tt0118971,R,"Drama, Mystery, Thriller",441.0,The Devil's Advocate,12170536,"Oct 17, 1997 - Feb 12, 1998",2.4,2404
tt1924435,R,"Action, Comedy, Crime",142.0,Let's Be Cops,17813722,"Aug 13, 2014 - Dec 11, 2014",1.7333333333333334,3140
tt1091191,R,"Action, Biography, Drama, War",372.0,Lone Survivor,90872,"Aug 13, 2014 - Dec 11, 2014",2.0166666666666666,3285
tt2302755,R,"Action, Thriller",285.0,Olympus Has Fallen,30373794,"Mar 22, 2013 - Jul 11, 2013",1.9833333333333334,3106
tt1142433,PG-13,"Comedy, Romance",133.0,Post Grad,2651996,"Aug 21, 2009 - Oct 15, 2009",1.4666666666666668,1959
tt2520516,na,Comedy,201.0,The Stroller Strategy,1799,"Jun 14, 2013 - Jul 4, 2013",1.5,1
tt0443701,PG-13,"Drama, Horror, Mystery, Sci, Fi, Thriller",160.0,The X Files: I Want to Believe,10021753,"Jul 25, 2008 - Oct 9, 2008",1.7333333333333334,3185
tt1711425,R,Comedy,306.0,21 & Over,8754168,"Mar 1, 2013 - May 16, 2013",1.55,2771
tt0397892,PG,"Adventure, Animation, Comedy, Drama, Family",406.0,Bolt,26223128,"Nov 21, 2008 - Feb 22, 2009",1.6,3654
tt0829150,PG-13,"Action, Drama, Fantasy, Horror, War",84.0,Dracula Untold,23514615,"Oct 10, 2014 - Nov 27, 2014",1.5333333333333332,2900
tt2966934,PG-13,"Documentary, Music",217.0,Under the Electric Sky,na,"May 29, 2014 - Jul 31, 2014",1.4166666666666667,25
tt1300854,PG-13,"Action, Adventure, Sci, Fi",243.0,Iron Man 3,174144585,"May 3, 2013 - Sep 12, 2013",2.1666666666666665,4253
tt0119925,R,"Action, Adventure, Drama, Sci, Fi",372.0,The Postman,5260324,"Dec 25, 1997",2.95,2207
tt0120902,PG-13,"Drama, Mystery, Sci, Fi, Thriller",196.0,The X Files,30138758,"Jun 19, 1998",2.0166666666666666,2650
tt1650393,R,"Comedy, Drama",103.0,C.O.G.,32677,"Sep 20, 2013 - Oct 13, 2013",1.4666666666666668,20
tt0970416,PG-13,"Drama, Sci, Fi, Thriller",385.0,The Day the Earth Stood Still,30480153,"Dec 12, 2008 - Apr 2, 2009",1.7333333333333334,3560
tt1078588,PG-13,"Drama, Family",189.0,My Sister's Keeper,12442212,"Jun 26, 2009 - Oct 8, 2009",1.8166666666666667,2606
tt1111422,R,"Action, Crime, Thriller",203.0,The Taking of Pelham 123,23373102,"Jun 12, 2009 - Aug 23, 2009",1.7666666666666666,3077
tt1440770,PG,"Documentary, Sport",133.0,X Games 3D: The Movie,837216,"Aug 21, 2009 - Sep 3, 2009",1.5333333333333332,1399
tt1288553,na,Documentary,413.0,The Beautiful Truth,3025,"Nov 14, 2008 - Jan 29, 2009",1.5333333333333332,2
tt1980929,R,"Comedy, Drama, Music, Romance",188.0,Begin Again,134064,"Nov 14, 2008 - Jan 29, 2009",1.7333333333333334,1302
tt1764234,R,"Crime, Drama, Thriller",397.0,Killing Them Softly,6812900,"Nov 30, 2012 - Feb 21, 2013",1.6166666666666667,2424
tt2752758,R,"Horror, Mystery, Thriller",349.0,Devil's Due,8308220,"Jan 17, 2014 - Mar 20, 2014",1.4833333333333334,2544
tt0974554,R,"Drama, Romance",147.0,Elegy,104168,"Aug 8, 2008 - Nov 13, 2008",1.8666666666666667,142
tt0473360,PG-13,"Adventure, Drama, Sport",125.0,Goal II: Living the Dream,150098,"Aug 29, 2008 - Sep 18, 2008",1.9166666666666665,99
tt1229827,na,"Documentary, Music",308.0,Jonas Brothers: The 3D Concert Experience,12510374,"Feb 27, 2009 - Apr 2, 2009",1.2666666666666666,1276
tt2073681,na,Drama,89.0,The Last Day of August,1693,"Oct 4, 2013 - Oct 10, 2013",1.5,1
tt2002718,R,"Action, Crime, Thriller",84.0,Machete Kills,3837183,"Oct 11, 2013 - Nov 14, 2013",1.7833333333333332,2538
tt1623205,PG,"Adventure, Family, Fantasy",299.0,Oz the Great and Powerful,79110453,"Mar 8, 2013 - Jul 18, 2013",2.1666666666666665,3912
tt2319580,PG-13,Comedy,223.0,The Grand Seduction,41433,"May 23, 2014 - Sep 11, 2014",1.8833333333333333,124
tt0762073,R,"Drama, Fantasy, Horror, Romance",154.0,Thirst,55889,"Jul 31, 2009 - Aug 27, 2009",2.2333333333333334,17
